Analizador lexico:
LexToken(PACKAGE,'package',1,22)
LexToken(LPAREN,'(',1,521)
LexToken(VARIABLE,'valor1',1,522)
LexToken(INT,'int',1,529)
LexToken(COMMA,',',1,532)
LexToken(VARIABLE,'valor2',1,534)
LexToken(INT,'int',1,541)
LexToken(RPAREN,')',1,545)
LexToken(INT,'int',1,547)
LexToken(LBRACE,'{',1,551)
LexToken(VAR,'var',1,556)
LexToken(VARIABLE,'valor4',1,560)
LexToken(INT,'int',1,567)
LexToken(ASSIGN,'=',1,570)
LexToken(INT,0,1,571)
LexToken(INPUT,'fmt.Scanln',1,576)
LexToken(LPAREN,'(',1,586)
LexToken(VARIABLE,'valor4',1,587)
LexToken(RPAREN,')',1,593)
LexToken(PRINT,'fmt.Println',1,598)
LexToken(LPAREN,'(',1,609)
LexToken(VARIABLE,'valor4',1,610)
LexToken(RPAREN,')',1,616)
LexToken(VARIABLE,'valor3',1,621)
LexToken(ASSIGN,'=',1,627)
LexToken(VARIABLE,'valor1',1,628)
LexToken(PLUS,'+',1,634)
LexToken(VARIABLE,'valor2',1,635)
LexToken(PLUS,'+',1,641)
LexToken(VARIABLE,'valor4',1,642)
LexToken(RETURN,'return',1,652)
LexToken(VARIABLE,'valor3',1,659)
LexToken(RBRACE,'}',1,668)
LexToken(FUNCTION,'func',1,673)
LexToken(VARIABLE,'pruebaStruct',1,678)
LexToken(LPAREN,'(',1,690)
LexToken(RPAREN,')',1,691)
LexToken(LBRACE,'{',1,693)
LexToken(TYPE,'type',1,698)
LexToken(VARIABLE,'estructura1',1,703)
LexToken(STRUCT,'struct',1,715)
LexToken(LBRACE,'{',1,721)
LexToken(VARIABLE,'campo1',1,727)
LexToken(STRING,'string',1,734)
LexToken(VARIABLE,'campo2',1,745)
LexToken(INT,'int',1,752)
LexToken(VARIABLE,'campo3',1,760)
LexToken(FLOAT,'float',1,767)
LexToken(RBRACE,'}',1,776)
LexToken(RBRACE,'}',1,780)
LexToken(FUNCTION,'func',1,785)
LexToken(VARIABLE,'pruebaArray',1,790)
LexToken(LPAREN,'(',1,801)
LexToken(RPAREN,')',1,802)
LexToken(LBRACE,'{',1,803)
LexToken(VAR,'var',1,808)
LexToken(VARIABLE,'array',1,812)
LexToken(LBRACKET,'[',1,817)
LexToken(INT,10,1,818)
LexToken(RBRACKET,']',1,820)
LexToken(INT,'int',1,822)
LexToken(VAR,'var',1,829)
LexToken(VARIABLE,'array2',1,833)
LexToken(ASSIGN,'=',1,840)
LexToken(LBRACKET,'[',1,842)
LexToken(INT,10,1,843)
LexToken(RBRACKET,']',1,845)
LexToken(INT,'int',1,847)
LexToken(LBRACE,'{',1,851)
LexToken(INT,10,1,852)
LexToken(COMMA,',',1,854)
LexToken(INT,9,1,855)
LexToken(COMMA,',',1,856)
LexToken(INT,8,1,857)
LexToken(COMMA,',',1,858)
LexToken(INT,7,1,859)
LexToken(RBRACE,'}',1,860)
LexToken(RBRACE,'}',1,864)
LexToken(FUNCTION,'func',1,869)
LexToken(VARIABLE,'pruebaMap',1,874)
LexToken(LPAREN,'(',1,883)
LexToken(RPAREN,')',1,884)
LexToken(LBRACE,'{',1,885)
LexToken(VARIABLE,'mapa1',1,890)
LexToken(SHORTASSIGN,':=',1,896)
LexToken(MAP,'map',1,899)
LexToken(LBRACKET,'[',1,902)
LexToken(INT,'int',1,903)
LexToken(RBRACKET,']',1,906)
LexToken(STRING,'string',1,908)
LexToken(LBRACE,'{',1,915)
LexToken(INT,10,1,921)
LexToken(COLON,':',1,924)
LexToken(CHARSTRING,'"value1"',1,926)
LexToken(COMMA,',',1,934)
LexToken(INT,11,1,940)
LexToken(COLON,':',1,943)
LexToken(CHARSTRING,'"value2"',1,945)
LexToken(COMMA,',',1,953)
LexToken(INT,12,1,959)
LexToken(COLON,':',1,962)
LexToken(CHARSTRING,'"value3"',1,964)
LexToken(RBRACE,'}',1,976)
LexToken(VARIABLE,'mapa2',1,982)
LexToken(SHORTASSIGN,':=',1,988)
LexToken(MAKE,'make',1,991)
LexToken(LPAREN,'(',1,996)
LexToken(MAP,'map',1,997)
LexToken(LBRACKET,'[',1,1000)
LexToken(INT,'int',1,1001)
LexToken(RBRACKET,']',1,1004)
LexToken(INT,'int',1,1006)
LexToken(RPAREN,')',1,1009)
LexToken(VARIABLE,'mapa1',1,1014)
LexToken(LBRACKET,'[',1,1019)
LexToken(INT,10,1,1020)
LexToken(RBRACKET,']',1,1022)
LexToken(ASSIGN,'=',1,1023)
LexToken(CHARSTRING,'"value4"',1,1024)
LexToken(RBRACE,'}',1,1035)
LexToken(FUNCTION,'func',1,1040)
LexToken(VARIABLE,'pruebaSlice',1,1045)
LexToken(LPAREN,'(',1,1056)
LexToken(RPAREN,')',1,1057)
LexToken(LBRACE,'{',1,1059)
LexToken(VARIABLE,'slice1',1,1064)
LexToken(SHORTASSIGN,':=',1,1071)
LexToken(LBRACKET,'[',1,1074)
LexToken(RBRACKET,']',1,1075)
LexToken(STRING,'string',1,1077)
LexToken(LBRACE,'{',1,1084)
LexToken(CHARSTRING,'"valor1"',1,1085)
LexToken(COMMA,',',1,1093)
LexToken(CHARSTRING,'"valor2"',1,1094)
LexToken(COMMA,',',1,1102)
LexToken(CHARSTRING,'"valor3"',1,1103)
LexToken(RBRACE,'}',1,1111)
LexToken(VAR,'var',1,1116)
LexToken(VARIABLE,'slice2',1,1120)
LexToken(LBRACKET,'[',1,1126)
LexToken(RBRACKET,']',1,1127)
LexToken(STRING,'string',1,1129)
LexToken(VARIABLE,'slice3',1,1140)
LexToken(SHORTASSIGN,':=',1,1147)
LexToken(LBRACKET,'[',1,1150)
LexToken(RBRACKET,']',1,1151)
LexToken(INT,'int',1,1153)
LexToken(VARIABLE,'slice3',1,1160)
LexToken(ASSIGN,'=',1,1167)
LexToken(APPEND,'append',1,1169)
LexToken(LPAREN,'(',1,1176)
LexToken(VARIABLE,'slice3',1,1177)
LexToken(COMMA,',',1,1183)
LexToken(INT,9,1,1184)
LexToken(RPAREN,')',1,1185)
LexToken(VARIABLE,'slice3',1,1191)
LexToken(ASSIGN,'=',1,1198)
LexToken(APPEND,'append',1,1200)
LexToken(LPAREN,'(',1,1207)
LexToken(VARIABLE,'slice3',1,1208)
LexToken(COMMA,',',1,1214)
LexToken(LBRACKET,'[',1,1215)
LexToken(RBRACKET,']',1,1216)
LexToken(INT,'int',1,1217)
LexToken(LBRACE,'{',1,1220)
LexToken(INT,10,1,1221)
LexToken(COMMA,',',1,1223)
LexToken(INT,11,1,1224)
LexToken(COMMA,',',1,1226)
LexToken(INT,12,1,1227)
LexToken(RBRACE,'}',1,1229)
LexToken(RPAREN,')',1,1230)
LexToken(RBRACE,'}',1,1234)
LexToken(FUNCTION,'func',1,1238)
LexToken(VARIABLE,'pruebaIf',1,1243)
LexToken(LPAREN,'(',1,1251)
LexToken(VARIABLE,'valor1',1,1252)
LexToken(INT,'int',1,1259)
LexToken(COMMA,',',1,1262)
LexToken(VARIABLE,'valor2',1,1264)
LexToken(INT,'int',1,1271)
LexToken(COMMA,',',1,1274)
LexToken(VARIABLE,'valor3',1,1276)
LexToken(INT,'int',1,1283)
LexToken(RPAREN,')',1,1286)
LexToken(BOOL,'bool',1,1288)
LexToken(LBRACE,'{',1,1293)
LexToken(VAR,'var',1,1298)
LexToken(VARIABLE,'valorNuevo',1,1302)
LexToken(INT,'int',1,1313)
LexToken(VAR,'var',1,1320)
LexToken(VARIABLE,'salida',1,1324)
LexToken(BOOL,'bool',1,1331)
LexToken(IF,'if',1,1339)
LexToken(VARIABLE,'valor1',1,1342)
LexToken(GREATEREQUALS,'>=',1,1348)
LexToken(VARIABLE,'valor2',1,1350)
LexToken(LBRACE,'{',1,1357)
LexToken(VARIABLE,'valorNuevo',1,1363)
LexToken(ASSIGN,'=',1,1373)
LexToken(VARIABLE,'valor1',1,1374)
LexToken(DIVIDE,'/',1,1380)
LexToken(VARIABLE,'valor2',1,1381)
LexToken(IF,'if',1,1392)
LexToken(VARIABLE,'valorNuevo',1,1395)
LexToken(EQUALS,'==',1,1405)
LexToken(INT,10,1,1407)
LexToken(LBRACE,'{',1,1410)
LexToken(RETURN,'return',1,1417)
LexToken(VARIABLE,'True',1,1424)
LexToken(RBRACE,'}',1,1433)
LexToken(RETURN,'return',1,1439)
LexToken(VARIABLE,'False',1,1446)
LexToken(RBRACE,'}',1,1455)
LexToken(ELSE,'else',1,1461)
LexToken(IF,'if',1,1466)
LexToken(VARIABLE,'valor2',1,1469)
LexToken(EQUALS,'==',1,1475)
LexToken(VARIABLE,'valor3',1,1477)
LexToken(AND,'&&',1,1484)
LexToken(VARIABLE,'valor3',1,1487)
LexToken(DIFFERENT,'!=',1,1493)
LexToken(INT,200,1,1495)
LexToken(LBRACE,'{',1,1499)
LexToken(RETURN,'return',1,1505)
LexToken(VARIABLE,'True',1,1512)
LexToken(RBRACE,'}',1,1520)
LexToken(ELSE,'else',1,1526)
LexToken(LBRACE,'{',1,1531)
LexToken(VARIABLE,'valorNuevo',1,1537)
LexToken(ASSIGN,'=',1,1547)
LexToken(VARIABLE,'valor2',1,1548)
LexToken(TIMES,'*',1,1554)
LexToken(VARIABLE,'valor3',1,1555)
LexToken(IF,'if',1,1566)
LexToken(VARIABLE,'valorNuevo',1,1569)
LexToken(GREATER,'>',1,1579)
LexToken(INT,10,1,1580)
LexToken(OR,'||',1,1583)
LexToken(VARIABLE,'valorNuevo',1,1586)
LexToken(LESS,'<',1,1597)
LexToken(INT,100,1,1598)
LexToken(LBRACE,'{',1,1602)
LexToken(RETURN,'return',1,1609)
LexToken(VARIABLE,'True',1,1616)
LexToken(RBRACE,'}',1,1625)
LexToken(RETURN,'return',1,1632)
LexToken(VARIABLE,'False',1,1639)
LexToken(RBRACE,'}',1,1648)
LexToken(RETURN,'return',1,1654)
LexToken(VARIABLE,'False',1,1661)
LexToken(RBRACE,'}',1,1669)
LexToken(RBRACE,'}',1,1672)
